country_code,reference_date_1_january_31_december,births_thousands,variant
31,2021,159.252,Medium variant
31,2022,153.587,Medium variant
31,2023,148.361,Medium variant
31,2024,143.756,Medium variant
31,2025,139.96,Medium variant
31,2026,137.101,Medium variant
31,2027,135.133,Medium variant
31,2028,133.977,Medium variant
31,2029,133.575,Medium variant
31,2030,133.868,Medium variant
31,2031,134.776,Medium variant
31,2032,136.131,Medium variant
31,2033,137.737,Medium variant
31,2034,139.415,Medium variant
31,2035,140.987,Medium variant
31,2036,142.319,Medium variant
31,2037,143.356,Medium variant
31,2038,144.05,Medium variant
31,2039,144.335,Medium variant
31,2040,144.164,Medium variant
31,2041,143.528,Medium variant
31,2042,142.513,Medium variant
31,2043,141.214,Medium variant
31,2044,139.693,Medium variant
31,2045,138.012,Medium variant
31,2046,136.226,Medium variant
31,2047,134.387,Medium variant
31,2048,132.555,Medium variant
31,2049,130.792,Medium variant
31,2050,129.151,Medium variant
31,2051,127.662,Medium variant
31,2052,126.32,Medium variant
31,2053,125.119,Medium variant
31,2054,124.073,Medium variant
31,2055,123.19,Medium variant
31,2056,122.476,Medium variant
31,2057,121.91,Medium variant
31,2058,121.465,Medium variant
31,2059,121.121,Medium variant
31,2060,120.857,Medium variant
31,2061,120.658,Medium variant
31,2062,120.504,Medium variant
31,2063,120.37,Medium variant
31,2064,120.231,Medium variant
31,2065,120.06,Medium variant
31,2066,119.841,Medium variant
31,2067,119.57,Medium variant
31,2068,119.241,Medium variant
31,2069,118.847,Medium variant
31,2070,118.379,Medium variant
31,2071,117.835,Medium variant
31,2072,117.225,Medium variant
31,2073,116.56,Medium variant
31,2074,115.85,Medium variant
31,2075,115.103,Medium variant
31,2076,114.324,Medium variant
31,2077,113.523,Medium variant
31,2078,112.713,Medium variant
31,2079,111.907,Medium variant
31,2080,111.118,Medium variant
31,2081,110.357,Medium variant
31,2082,109.627,Medium variant
31,2083,108.933,Medium variant
31,2084,108.282,Medium variant
31,2085,107.681,Medium variant
31,2086,107.135,Medium variant
31,2087,106.637,Medium variant
31,2088,106.184,Medium variant
31,2089,105.771,Medium variant
31,2090,105.393,Medium variant
31,2091,105.044,Medium variant
31,2092,104.718,Medium variant
31,2093,104.41,Medium variant
31,2094,104.116,Medium variant
31,2095,103.834,Medium variant
31,2096,103.562,Medium variant
31,2097,103.301,Medium variant
31,2098,103.048,Medium variant
31,2099,102.806,Medium variant
32,1950,447.545,Estimates
32,1951,450.156,Estimates
32,1952,455.272,Estimates
32,1953,460.175,Estimates
32,1954,464.865,Estimates
32,1955,469.338,Estimates
32,1956,473.581,Estimates
32,1957,477.599,Estimates
32,1958,481.394,Estimates
32,1959,484.95,Estimates
32,1960,488.278,Estimates
32,1961,491.425,Estimates
32,1962,494.5,Estimates
