country_code,year,female_deaths
40,2075,51.896
40,2076,51.676
40,2077,51.495
40,2078,51.342
40,2079,51.206
40,2080,51.07
40,2081,50.919
40,2082,50.741
40,2083,50.53
40,2084,50.283
40,2085,50.002
40,2086,49.698
40,2087,49.385
40,2088,49.071
40,2089,48.759
40,2090,48.445
40,2091,48.125
40,2092,47.793
40,2093,47.441
40,2094,47.066
40,2095,46.663
40,2096,46.231
40,2097,45.768
40,2098,45.275
40,2099,44.751
44,1950,0.452
44,1951,0.45
44,1952,0.445
44,1953,0.442
44,1954,0.44
44,1955,0.439
44,1956,0.439
44,1957,0.441
44,1958,0.443
44,1959,0.447
44,1960,0.451
44,1961,0.455
44,1962,0.459
44,1963,0.463
44,1964,0.466
44,1965,0.47
44,1966,0.474
44,1967,0.479
44,1968,0.486
44,1969,0.493
44,1970,0.5
44,1971,0.508
44,1972,0.514
44,1973,0.52
44,1974,0.524
44,1975,0.527
44,1976,0.53
44,1977,0.533
44,1978,0.536
44,1979,0.54
44,1980,0.546
44,1981,0.551
44,1982,0.557
44,1983,0.563
44,1984,0.569
44,1985,0.575
44,1986,0.582
44,1987,0.589
44,1988,0.596
44,1989,0.605
44,1990,0.616
44,1991,0.628
44,1992,0.641
44,1993,0.657
44,1994,0.673
44,1995,0.69
44,1996,0.705
44,1997,0.72
44,1998,0.733
44,1999,0.745
44,2000,0.757
44,2001,0.77
44,2002,0.784
44,2003,0.801
44,2004,0.821
44,2005,0.845
44,2006,0.87
44,2007,0.896
44,2008,0.923
44,2009,0.95
44,2010,0.977
44,2011,1.004
44,2012,1.031
44,2013,1.059
44,2014,1.087
44,2015,1.116
44,2016,1.146
44,2017,1.176
44,2018,1.207
44,2019,1.238
44,2020,1.27
44,2021,1.303
44,2022,1.336
44,2023,1.369
44,2024,1.403
44,2025,1.438
44,2026,1.474
44,2027,1.511
44,2028,1.549
44,2029,1.588
44,2030,1.628
44,2031,1.668
44,2032,1.709
44,2033,1.75
44,2034,1.791
44,2035,1.833
44,2036,1.876
44,2037,1.92
44,2038,1.965
44,2039,2.01
44,2040,2.056
44,2041,2.102
44,2042,2.149
44,2043,2.194
44,2044,2.239
44,2045,2.282
44,2046,2.324
44,2047,2.364
44,2048,2.404
44,2049,2.442
44,2050,2.478
44,2051,2.512
44,2052,2.544
44,2053,2.574
44,2054,2.602
44,2055,2.628
44,2056,2.652
44,2057,2.673
44,2058,2.693
44,2059,2.71
44,2060,2.727
44,2061,2.742
44,2062,2.755
44,2063,2.768
44,2064,2.781
44,2065,2.793
44,2066,2.806
44,2067,2.819
44,2068,2.832
44,2069,2.845
44,2070,2.86
44,2071,2.874
44,2072,2.889
44,2073,2.904
44,2074,2.919
44,2075,2.934
44,2076,2.949
44,2077,2.963
44,2078,2.976
44,2079,2.988
44,2080,2.999
44,2081,3.008
44,2082,3.014
44,2083,3.018
44,2084,3.019
44,2085,3.017
44,2086,3.013
44,2087,3.006
44,2088,2.997
44,2089,2.987
44,2090,2.975
44,2091,2.962
44,2092,2.948
44,2093,2.933
44,2094,2.917
44,2095,2.901
44,2096,2.884
44,2097,2.866
44,2098,2.847
44,2099,2.828
48,1950,1.07
48,1951,1.08
48,1952,1.097
48,1953,1.107
48,1954,1.11
48,1955,1.106
48,1956,1.095
48,1957,1.077
48,1958,1.053
48,1959,1.023
48,1960,0.989
48,1961,0.951
48,1962,0.912
48,1963,0.872
48,1964,0.833
48,1965,0.796
48,1966,0.763
48,1967,0.733
48,1968,0.706
48,1969,0.683
48,1970,0.663
48,1971,0.646
48,1972,0.632
48,1973,0.619
48,1974,0.607
48,1975,0.598
48,1976,0.592
48,1977,0.589
48,1978,0.59
48,1979,0.594
48,1980,0.6
48,1981,0.608
48,1982,0.617
48,1983,0.626
48,1984,0.634
48,1985,0.641
48,1986,0.647
48,1987,0.653
48,1988,0.658
48,1989,0.664
48,1990,0.67
48,1991,0.676
48,1992,0.685
48,1993,0.695
48,1994,0.706
48,1995,0.719
48,1996,0.733
48,1997,0.747
